UF,Municipios,Alias
RO,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA
RO,MIRANTE DA SERRA,MIRANTE DA SERRA
RO,MONTE NEGRO,MONTE NEGRO
RO,NOVA UNIAO,NOVA UNIAO
RO,PARECIS,PARECIS
RO,PIMENTEIRAS DO OESTE,PIMENTEIRAS DO OESTE
RO,PRIMAVERA DE RONDONIA,PRIMAVERA DE RONDONIA
RO,SAO FELIPE D´OESTE,SAO FELIPE D´OESTE
RO,SAO FRANCISCO DO GUAPORE,SAO FRANCISCO DO GUAPORE
RO,SERINGUEIRAS,SERINGUEIRAS
RO,TEIXEIROPOLIS,TEIXEIROPOLIS
RO,THEOBROMA,THEOBROMA
RO,URUPA,URUPA
RO,VALE DO ANARI,VALE DO ANARI
RO,VALE DO PARAISO,VALE DO PARAISO
AC,ACRELANDIA,ACRELANDIA
AC,ASSIS BRASIL,ASSIS BRASIL
AC,BRASILEIA,BRASILEIA
AC,BUJARI,BUJARI
AC,CAPIXABA,CAPIXABA
AC,CRUZEIRO DO SUL,CRUZEIRO DO SUL
AC,EPITACIOLANDIA,EPITACIOLANDIA
AC,FEIJO,FEIJO
AC,JORDAO,JORDAO
AC,MANCIO LIMA,MANCIO LIMA
AC,MANOEL URBANO,MANOEL URBANO
AC,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO
AC,PLACIDO DE CASTRO,PLACIDO DE CASTRO
AC,PORTO WALTER,PORTO WALTER
AC,RIO BRANCO,RIO BRANCO
AC,RODRIGUES ALVES,RODRIGUES ALVES
AC,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS
AC,SENADOR GUIOMARD,SENADOR GUIOMARD
AC,SENA MADUREIRA,SENA MADUREIRA
AC,TARAUACA,TARAUACA
AC,XAPURI,XAPURI
AC,PORTO ACRE,PORTO ACRE
AM,ALVARAES,ALVARAES
AM,AMATURA,AMATURA
AM,ANAMA,ANAMA
AM,ANORI,ANORI
AM,APUI,APUI
AM,ATALAIA DO NORTE,ATALAIA DO NORTE
AM,AUTAZES,AUTAZES
AM,BARCELOS,BARCELOS
AM,BARREIRINHA,BARREIRINHA
AM,BENJAMIN CONSTANT,BENJAMIN CONSTANT
AM,BERURI,BERURI
AM,BOA VISTA DO RAMOS,BOA VISTA DO RAMOS
AM,BOCA DO ACRE,BOCA DO ACRE
AM,BORBA,BORBA
AM,CAAPIRANGA,CAAPIRANGA
AM,CANUTAMA,CANUTAMA
AM,CARAUARI,CARAUARI
AM,CAREIRO,CAREIRO
AM,CAREIRO DA VARZEA,CAREIRO DA VARZEA
AM,COARI,COARI
AM,CODAJAS,CODAJAS
AM,EIRUNEPE,EIRUNEPE
AM,ENVIRA,ENVIRA
AM,FONTE BOA,FONTE BOA
AM,GUAJARA,GUAJARA
AM,HUMAITA,HUMAITA
AM,IPIXUNA,IPIXUNA
AM,IRANDUBA,IRANDUBA
AM,ITACOATIARA,ITACOATIARA
AM,ITAMARATI,ITAMARATI
AM,ITAPIRANGA,ITAPIRANGA
AM,JAPURA,JAPURA
AM,JURUA,JURUA
AM,JUTAI,JUTAI
AM,LABREA,LABREA
AM,MANACAPURU,MANACAPURU
AM,MANAQUIRI,MANAQUIRI
AM,MANAUS,MANAUS
AM,MANICORE,MANICORE
AM,MARAA,MARAA
AM,MAUES,MAUES
AM,NHAMUNDA,NHAMUNDA
AM,NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE
AM,NOVO AIRAO,NOVO AIRAO
AM,NOVO ARIPUANA,NOVO ARIPUANA
AM,PARINTINS,PARINTINS
AM,PAUINI,PAUINI
AM,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO
AM,RIO PRETO DA EVA,RIO PRETO DA EVA
AM,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO
AM,SANTO ANTONIO DO ICA,SANTO ANTONIO DO ICA
AM,SAO GABRIEL DA CACHOEIRA,SAO GABRIEL DA CACHOEIRA
AM,SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA
AM,SAO SEBASTIAO DO UATUMA,SAO SEBASTIAO DO UATUMA
AM,SILVES,SILVES
AM,TABATINGA,TABATINGA
AM,TAPAUA,TAPAUA
AM,TEFE,TEFE
AM,TONANTINS,TONANTINS
AM,UARINI,UARINI
AM,URUCARA,URUCARA
AM,URUCURITUBA,URUCURITUBA
RR,AMAJARI,AMAJARI
RR,ALTO ALEGRE,ALTO ALEGRE
RR,BOA VISTA,BOA VISTA
RR,BONFIM,BONFIM
RR,CANTA,CANTA
RR,CARACARAI,CARACARAI
RR,CAROEBE,CAROEBE
RR,IRACEMA,IRACEMA
RR,MUCAJAI,MUCAJAI
RR,NORMANDIA,NORMANDIA
RR,PACARAIMA,PACARAIMA
RR,RORAINOPOLIS,RORAINOPOLIS
RR,SAO JOAO DA BALIZA,SAO JOAO DA BALIZA
RR,SAO LUIZ,SAO LUIZ
RR,UIRAMUTA,UIRAMUTA
PA,ABAETETUBA,ABAETETUBA
PA,ABEL FIGUEIREDO,ABEL FIGUEIREDO
PA,ACARA,ACARA
PA,AFUA,AFUA
PA,AGUA AZUL DO NORTE,AGUA AZUL DO NORTE
PA,ALENQUER,ALENQUER
PA,ALMEIRIM,ALMEIRIM
PA,ALTAMIRA,ALTAMIRA
PA,ANAJAS,ANAJAS
PA,ANANINDEUA,ANANINDEUA
PA,ANAPU,ANAPU
PA,AUGUSTO CORREA,AUGUSTO CORREA
PA,AURORA DO PARA,AURORA DO PARA
PA,AVEIRO,AVEIRO
PA,BAGRE,BAGRE
PA,BAIAO,BAIAO
PA,BANNACH,BANNACH
PA,BARCARENA,BARCARENA
PA,BELEM,BELEM
PA,BELTERRA,BELTERRA
PA,BENEVIDES,BENEVIDES
PA,BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS
PA,BONITO,BONITO
PA,BRAGANCA,BRAGANCA
PA,BRASIL NOVO,BRASIL NOVO
PA,BREJO GRANDE DO ARAGUAIA,BREJO GRANDE DO ARAGUAIA
PA,BREU BRANCO,BREU BRANCO
PA,BREVES,BREVES
PA,BUJARU,BUJARU
PA,CACHOEIRA DO PIRIA,CACHOEIRA DO PIRIA
PA,CACHOEIRA DO ARARI,CACHOEIRA DO ARARI
PA,CAMETA,CAMETA
PA,CANAA DOS CARAJAS,CANAA DOS CARAJAS
PA,CAPANEMA,CAPANEMA
PA,CAPITAO POCO,CAPITAO POCO
PA,CASTANHAL,CASTANHAL
PA,CHAVES,CHAVES
PA,COLARES,COLARES
PA,CONCEICAO DO ARAGUAIA,CONCEICAO DO ARAGUAIA
PA,CONCORDIA DO PARA,CONCORDIA DO PARA
PA,CUMARU DO NORTE,CUMARU DO NORTE
PA,CURIONOPOLIS,CURIONOPOLIS
PA,CURRALINHO,CURRALINHO
PA,CURUA,CURUA
PA,CURUCA,CURUCA
PA,DOM ELISEU,DOM ELISEU
PA,ELDORADO DOS CARAJAS,ELDORADO DOS CARAJAS
PA,FARO,FARO
PA,FLORESTA DO ARAGUAIA,FLORESTA DO ARAGUAIA
PA,GARRAFAO DO NORTE,GARRAFAO DO NORTE
PA,GOIANESIA DO PARA,GOIANESIA DO PARA
PA,GURUPA,GURUPA
PA,IGARAPE-ACU,IGARAPE-ACU
PA,IGARAPE-MIRI,IGARAPE-MIRI
PA,INHANGAPI,INHANGAPI
PA,IPIXUNA DO PARA,IPIXUNA DO PARA
PA,IRITUIA,IRITUIA
PA,ITAITUBA,ITAITUBA
PA,ITUPIRANGA,ITUPIRANGA
PA,JACAREACANGA,JACAREACANGA
PA,JACUNDA,JACUNDA
PA,JURUTI,JURUTI
PA,LIMOEIRO DO AJURU,LIMOEIRO DO AJURU
PA,MAE DO RIO,MAE DO RIO
PA,MAGALHAES BARATA,MAGALHAES BARATA
PA,MARABA,MARABA
PA,MARACANA,MARACANA
PA,MARAPANIM,MARAPANIM
PA,MARITUBA,MARITUBA
PA,MEDICILANDIA,MEDICILANDIA
PA,MELGACO,MELGACO
PA,MOCAJUBA,MOCAJUBA
PA,MOJU,MOJU
PA,MOJUI DOS CAMPOS,MOJUI DOS CAMPOS
PA,MONTE ALEGRE,MONTE ALEGRE
PA,MUANA,MUANA
PA,NOVA ESPERANCA DO PIRIA,NOVA ESPERANCA DO PIRIA
PA,NOVA IPIXUNA,NOVA IPIXUNA
PA,NOVA TIMBOTEUA,NOVA TIMBOTEUA
PA,NOVO PROGRESSO,NOVO PROGRESSO
PA,NOVO REPARTIMENTO,NOVO REPARTIMENTO
PA,OBIDOS,OBIDOS
PA,OEIRAS DO PARA,OEIRAS DO PARA
PA,ORIXIMINA,ORIXIMINA
PA,OUREM,OUREM
PA,OURILANDIA DO NORTE,OURILANDIA DO NORTE
PA,PACAJA,PACAJA
PA,PALESTINA DO PARA,PALESTINA DO PARA
PA,PARAGOMINAS,PARAGOMINAS
PA,PARAUAPEBAS,PARAUAPEBAS
PA,PAU D´ARCO,PAU D´ARCO
PA,PEIXE-BOI,PEIXE-BOI
PA,PICARRA,PICARRA
PA,PLACAS,PLACAS
PA,PONTA DE PEDRAS,PONTA DE PEDRAS
PA,PORTEL,PORTEL
PA,PORTO DE MOZ,PORTO DE MOZ
PA,PRAINHA,PRAINHA
PA,PRIMAVERA,PRIMAVERA
PA,QUATIPURU,QUATIPURU
PA,REDENCAO,REDENCAO
PA,RIO MARIA,RIO MARIA
PA,RONDON DO PARA,RONDON DO PARA
PA,RUROPOLIS,RUROPOLIS
PA,SALINOPOLIS,SALINOPOLIS
PA,SALVATERRA,SALVATERRA
PA,SANTA BARBARA DO PARA,SANTA BARBARA DO PARA
PA,SANTA CRUZ DO ARARI,SANTA CRUZ DO ARARI
PA,SANTA ISABEL DO PARA,SANTA ISABEL DO PARA
PA,SANTA LUZIA DO PARA,SANTA LUZIA DO PARA
PA,SANTA MARIA DAS BARREIRAS,SANTA MARIA DAS BARREIRAS
PA,SANTA MARIA DO PARA,SANTA MARIA DO PARA
PA,SANTANA DO ARAGUAIA,SANTANA DO ARAGUAIA
PA,SANTAREM,SANTAREM
PA,SANTAREM NOVO,SANTAREM NOVO
PA,SANTO ANTONIO DO TAUA,SANTO ANTONIO DO TAUA
PA,SAO CAETANO DE ODIVELAS,SAO CAETANO DE ODIVELAS
PA,SAO DOMINGOS DO ARAGUAIA,SAO DOMINGOS DO ARAGUAIA
PA,SAO DOMINGOS DO CAPIM,SAO DOMINGOS DO CAPIM
PA,SAO FELIX DO XINGU,SAO FELIX DO XINGU
PA,SAO FRANCISCO DO PARA,SAO FRANCISCO DO PARA
PA,SAO GERALDO DO ARAGUAIA,SAO GERALDO DO ARAGUAIA
PA,SAO JOAO DA PONTA,SAO JOAO DA PONTA
PA,SAO JOAO DE PIRABAS,SAO JOAO DE PIRABAS
PA,SAO JOAO DO ARAGUAIA,SAO JOAO DO ARAGUAIA
PA,SAO MIGUEL DO GUAMA,SAO MIGUEL DO GUAMA
PA,SAO SEBASTIAO DA BOA VISTA,SAO SEBASTIAO DA BOA VISTA
PA,SAPUCAIA,SAPUCAIA
PA,SENADOR JOSE PORFIRIO,SENADOR JOSE PORFIRIO
PA,SOURE,SOURE
PA,TAILANDIA,TAILANDIA
PA,TERRA ALTA,TERRA ALTA
PA,TERRA SANTA,TERRA SANTA
PA,TOME-ACU,TOME-ACU
PA,TRACUATEUA,TRACUATEUA
PA,TRAIRAO,TRAIRAO
PA,TUCUMA,TUCUMA
PA,TUCURUI,TUCURUI
PA,ULIANOPOLIS,ULIANOPOLIS
PA,URUARA,URUARA
PA,VIGIA,VIGIA
PA,VISEU,VISEU
PA,VITORIA DO XINGU,VITORIA DO XINGU
PA,XINGUARA,XINGUARA
AP,SERRA DO NAVIO,SERRA DO NAVIO
AP,AMAPA,AMAPA
AP,PEDRA BRANCA DO AMAPARI,PEDRA BRANCA DO AMAPARI
AP,CALCOENE,CALCOENE
AP,CUTIAS,CUTIAS
AP,FERREIRA GOMES,FERREIRA GOMES
AP,ITAUBAL,ITAUBAL
AP,LARANJAL DO JARI,LARANJAL DO JARI
AP,MACAPA,MACAPA
AP,MAZAGAO,MAZAGAO
AP,OIAPOQUE,OIAPOQUE
AP,PORTO GRANDE,PORTO GRANDE
AP,PRACUUBA,PRACUUBA
AP,SANTANA,SANTANA
AP,TARTARUGALZINHO,TARTARUGALZINHO
AP,VITORIA DO JARI,VITORIA DO JARI
TO,ABREULANDIA,ABREULANDIA
TO,AGUIARNOPOLIS,AGUIARNOPOLIS
TO,ALIANCA DO TOCANTINS,ALIANCA DO TOCANTINS
TO,ALMAS,ALMAS
TO,ALVORADA,ALVORADA
TO,ANANAS,ANANAS
TO,ANGICO,ANGICO
TO,APARECIDA DO RIO NEGRO,APARECIDA DO RIO NEGRO
TO,ARAGOMINAS,ARAGOMINAS
TO,ARAGUACEMA,ARAGUACEMA
TO,ARAGUACU,ARAGUACU
TO,ARAGUAINA,ARAGUAINA
TO,ARAGUANA,ARAGUANA
TO,ARAGUATINS,ARAGUATINS
TO,ARAPOEMA,ARAPOEMA
TO,ARRAIAS,ARRAIAS
TO,AUGUSTINOPOLIS,AUGUSTINOPOLIS
TO,AURORA DO TOCANTINS,AURORA DO TOCANTINS
TO,AXIXA DO TOCANTINS,AXIXA DO TOCANTINS
TO,BABACULANDIA,BABACULANDIA
TO,BANDEIRANTES DO TOCANTINS,BANDEIRANTES DO TOCANTINS
TO,BARRA DO OURO,BARRA DO OURO
TO,BARROLANDIA,BARROLANDIA
TO,BERNARDO SAYAO,BERNARDO SAYAO
TO,BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS
TO,BRASILANDIA DO TOCANTINS,BRASILANDIA DO TOCANTINS
TO,BREJINHO DE NAZARE,BREJINHO DE NAZARE
TO,BURITI DO TOCANTINS,BURITI DO TOCANTINS
TO,CACHOEIRINHA,CACHOEIRINHA
TO,CAMPOS LINDOS,CAMPOS LINDOS
TO,CARIRI DO TOCANTINS,CARIRI DO TOCANTINS
TO,CARMOLANDIA,CARMOLANDIA
TO,CARRASCO BONITO,CARRASCO BONITO
TO,CASEARA,CASEARA
TO,CENTENARIO,CENTENARIO
TO,CHAPADA DE AREIA,CHAPADA DE AREIA
TO,CHAPADA DA NATIVIDADE,CHAPADA DA NATIVIDADE
TO,COLINAS DO TOCANTINS,COLINAS DO TOCANTINS
TO,COMBINADO,COMBINADO
TO,CONCEICAO DO TOCANTINS,CONCEICAO DO TOCANTINS
TO,COUTO DE MAGALHAES,COUTO DE MAGALHAES
TO,CRISTALANDIA,CRISTALANDIA
TO,CRIXAS DO TOCANTINS,CRIXAS DO TOCANTINS
TO,DARCINOPOLIS,DARCINOPOLIS
TO,DIANOPOLIS,DIANOPOLIS
TO,DIVINOPOLIS DO TOCANTINS,DIVINOPOLIS DO TOCANTINS
TO,DOIS IRMAOS DO TOCANTINS,DOIS IRMAOS DO TOCANTINS
TO,DUERE,DUERE
TO,ESPERANTINA,ESPERANTINA
TO,FATIMA,FATIMA
TO,FIGUEIROPOLIS,FIGUEIROPOLIS
TO,FILADELFIA,FILADELFIA
TO,FORMOSO DO ARAGUAIA,FORMOSO DO ARAGUAIA
TO,FORTALEZA DO TABOCAO,FORTALEZA DO TABOCAO
TO,GOIANORTE,GOIANORTE
TO,GOIATINS,GOIATINS
TO,GUARAI,GUARAI
TO,GURUPI,GURUPI
TO,IPUEIRAS,IPUEIRAS
TO,ITACAJA,ITACAJA
TO,ITAGUATINS,ITAGUATINS
TO,ITAPIRATINS,ITAPIRATINS
TO,ITAPORA DO TOCANTINS,ITAPORA DO TOCANTINS
TO,JAU DO TOCANTINS,JAU DO TOCANTINS
TO,JUARINA,JUARINA
TO,LAGOA DA CONFUSAO,LAGOA DA CONFUSAO
TO,LAGOA DO TOCANTINS,LAGOA DO TOCANTINS
TO,LAJEADO,LAJEADO
TO,LAVANDEIRA,LAVANDEIRA
TO,LIZARDA,LIZARDA
TO,LUZINOPOLIS,LUZINOPOLIS
TO,MARIANOPOLIS DO TOCANTINS,MARIANOPOLIS DO TOCANTINS
TO,MATEIROS,MATEIROS
TO,MAURILANDIA DO TOCANTINS,MAURILANDIA DO TOCANTINS
TO,MIRACEMA DO TOCANTINS,MIRACEMA DO TOCANTINS
TO,MIRANORTE,MIRANORTE
TO,MONTE DO CARMO,MONTE DO CARMO
TO,MONTE SANTO DO TOCANTINS,MONTE SANTO DO TOCANTINS
TO,PALMEIRAS DO TOCANTINS,PALMEIRAS DO TOCANTINS
TO,MURICILANDIA,MURICILANDIA
TO,NATIVIDADE,NATIVIDADE
TO,NAZARE,NAZARE
TO,NOVA OLINDA,NOVA OLINDA
TO,NOVA ROSALANDIA,NOVA ROSALANDIA
TO,NOVO ACORDO,NOVO ACORDO
TO,NOVO ALEGRE,NOVO ALEGRE
TO,NOVO JARDIM,NOVO JARDIM
TO,OLIVEIRA DE FATIMA,OLIVEIRA DE FATIMA
TO,PALMEIRANTE,PALMEIRANTE
TO,PALMEIROPOLIS,PALMEIROPOLIS
TO,PARAISO DO TOCANTINS,PARAISO DO TOCANTINS
TO,PARANA,PARANA
TO,PAU D´ARCO,PAU D´ARCO
TO,PEDRO AFONSO,PEDRO AFONSO
TO,PEIXE,PEIXE
TO,PEQUIZEIRO,PEQUIZEIRO
TO,COLMEIA,COLMEIA
TO,PINDORAMA DO TOCANTINS,PINDORAMA DO TOCANTINS
TO,PIRAQUE,PIRAQUE
TO,PIUM,PIUM
TO,PONTE ALTA DO BOM JESUS,PONTE ALTA DO BOM JESUS
TO,PONTE ALTA DO TOCANTINS,PONTE ALTA DO TOCANTINS
TO,PORTO ALEGRE DO TOCANTINS,PORTO ALEGRE DO TOCANTINS
TO,PORTO NACIONAL,PORTO NACIONAL
TO,PRAIA NORTE,PRAIA NORTE
TO,PRESIDENTE KENNEDY,PRESIDENTE KENNEDY
TO,PUGMIL,PUGMIL
TO,RECURSOLANDIA,RECURSOLANDIA
TO,RIACHINHO,RIACHINHO
TO,RIO DA CONCEICAO,RIO DA CONCEICAO
TO,RIO DOS BOIS,RIO DOS BOIS
TO,RIO SONO,RIO SONO
TO,SAMPAIO,SAMPAIO
TO,SANDOLANDIA,SANDOLANDIA
TO,SANTA FE DO ARAGUAIA,SANTA FE DO ARAGUAIA
TO,SANTA MARIA DO TOCANTINS,SANTA MARIA DO TOCANTINS
TO,SANTA RITA DO TOCANTINS,SANTA RITA DO TOCANTINS
TO,SANTA ROSA DO TOCANTINS,SANTA ROSA DO TOCANTINS
TO,SANTA TEREZA DO TOCANTINS,SANTA TEREZA DO TOCANTINS
TO,SANTA TEREZINHA DO TOCANTINS,SANTA TEREZINHA DO TOCANTINS
TO,SAO BENTO DO TOCANTINS,SAO BENTO DO TOCANTINS
TO,SAO FELIX DO TOCANTINS,SAO FELIX DO TOCANTINS
TO,SAO MIGUEL DO TOCANTINS,SAO MIGUEL DO TOCANTINS
TO,SAO SALVADOR DO TOCANTINS,SAO SALVADOR DO TOCANTINS
TO,SAO SEBASTIAO DO TOCANTINS,SAO SEBASTIAO DO TOCANTINS
TO,SAO VALERIO DA NATIVIDADE,SAO VALERIO DA NATIVIDADE
TO,SILVANOPOLIS,SILVANOPOLIS
TO,SITIO NOVO DO TOCANTINS,SITIO NOVO DO TOCANTINS
TO,SUCUPIRA,SUCUPIRA
TO,TAGUATINGA,TAGUATINGA
TO,TAIPAS DO TOCANTINS,TAIPAS DO TOCANTINS
TO,TALISMA,TALISMA
TO,PALMAS,PALMAS
TO,TOCANTINIA,TOCANTINIA
TO,TOCANTINOPOLIS,TOCANTINOPOLIS
TO,TUPIRAMA,TUPIRAMA
TO,TUPIRATINS,TUPIRATINS
TO,WANDERLANDIA,WANDERLANDIA
TO,XAMBIOA,XAMBIOA
MA,ACAILANDIA,ACAILANDIA
MA,AFONSO CUNHA,AFONSO CUNHA
MA,AGUA DOCE DO MARANHAO,AGUA DOCE DO MARANHAO
MA,ALCANTARA,ALCANTARA
MA,ALDEIAS ALTAS,ALDEIAS ALTAS
MA,ALTAMIRA DO MARANHAO,ALTAMIRA DO MARANHAO
MA,ALTO ALEGRE DO MARANHAO,ALTO ALEGRE DO MARANHAO
MA,ALTO ALEGRE DO PINDARE,ALTO ALEGRE DO PINDARE
MA,ALTO PARNAIBA,ALTO PARNAIBA
MA,AMAPA DO MARANHAO,AMAPA DO MARANHAO
MA,AMARANTE DO MARANHAO,AMARANTE DO MARANHAO
MA,ANAJATUBA,ANAJATUBA
MA,ANAPURUS,ANAPURUS
MA,APICUM-ACU,APICUM-ACU
MA,ARAGUANA,ARAGUANA
MA,ARAIOSES,ARAIOSES
MA,ARAME,ARAME
MA,ARARI,ARARI
MA,AXIXA,AXIXA
MA,BACABAL,BACABAL
MA,BACABEIRA,BACABEIRA
MA,BACURI,BACURI
MA,BACURITUBA,BACURITUBA
MA,BALSAS,BALSAS
MA,BARAO DE GRAJAU,BARAO DE GRAJAU
MA,BARRA DO CORDA,BARRA DO CORDA
MA,BARREIRINHAS,BARREIRINHAS
MA,BELAGUA,BELAGUA
MA,BELA VISTA DO MARANHAO,BELA VISTA DO MARANHAO
MA,BENEDITO LEITE,BENEDITO LEITE
MA,BEQUIMAO,BEQUIMAO
MA,BERNARDO DO MEARIM,BERNARDO DO MEARIM
MA,BOA VISTA DO GURUPI,BOA VISTA DO GURUPI
MA,BOM JARDIM,BOM JARDIM
MA,BOM JESUS DAS SELVAS,BOM JESUS DAS SELVAS
MA,BOM LUGAR,BOM LUGAR
MA,BREJO,BREJO
MA,BREJO DE AREIA,BREJO DE AREIA
MA,BURITI,BURITI
MA,BURITI BRAVO,BURITI BRAVO
MA,BURITICUPU,BURITICUPU
MA,BURITIRANA,BURITIRANA
MA,CACHOEIRA GRANDE,CACHOEIRA GRANDE
MA,CAJAPIO,CAJAPIO
MA,CAJARI,CAJARI
MA,CAMPESTRE DO MARANHAO,CAMPESTRE DO MARANHAO
MA,CANDIDO MENDES,CANDIDO MENDES
MA,CANTANHEDE,CANTANHEDE
MA,CAPINZAL DO NORTE,CAPINZAL DO NORTE
MA,CAROLINA,CAROLINA
MA,CARUTAPERA,CARUTAPERA
MA,CAXIAS,CAXIAS
MA,CEDRAL,CEDRAL
MA,CENTRAL DO MARANHAO,CENTRAL DO MARANHAO
MA,CENTRO DO GUILHERME,CENTRO DO GUILHERME
MA,CENTRO NOVO DO MARANHAO,CENTRO NOVO DO MARANHAO
MA,CHAPADINHA,CHAPADINHA
MA,CIDELANDIA,CIDELANDIA
MA,CODO,CODO
MA,COELHO NETO,COELHO NETO
MA,COLINAS,COLINAS
MA,CONCEICAO DO LAGO-ACU,CONCEICAO DO LAGO-ACU
MA,COROATA,COROATA
MA,CURURUPU,CURURUPU
MA,DAVINOPOLIS,DAVINOPOLIS
MA,DOM PEDRO,DOM PEDRO
MA,DUQUE BACELAR,DUQUE BACELAR
MA,ESPERANTINOPOLIS,ESPERANTINOPOLIS
MA,ESTREITO,ESTREITO
MA,FEIRA NOVA DO MARANHAO,FEIRA NOVA DO MARANHAO
MA,FERNANDO FALCAO,FERNANDO FALCAO
MA,FORMOSA DA SERRA NEGRA,FORMOSA DA SERRA NEGRA
MA,FORTALEZA DOS NOGUEIRAS,FORTALEZA DOS NOGUEIRAS
MA,FORTUNA,FORTUNA
MA,GODOFREDO VIANA,GODOFREDO VIANA
MA,GONCALVES DIAS,GONCALVES DIAS
MA,GOVERNADOR ARCHER,GOVERNADOR ARCHER
MA,GOVERNADOR EDISON LOBAO,GOVERNADOR EDISON LOBAO
MA,GOVERNADOR EUGENIO BARROS,GOVERNADOR EUGENIO BARROS
MA,GOVERNADOR LUIZ ROCHA,GOVERNADOR LUIZ ROCHA
MA,GOVERNADOR NEWTON BELLO,GOVERNADOR NEWTON BELLO
MA,GOVERNADOR NUNES FREIRE,GOVERNADOR NUNES FREIRE
MA,GRACA ARANHA,GRACA ARANHA
MA,GRAJAU,GRAJAU
MA,GUIMARAES,GUIMARAES
MA,HUMBERTO DE CAMPOS,HUMBERTO DE CAMPOS
MA,ICATU,ICATU
MA,IGARAPE DO MEIO,IGARAPE DO MEIO
MA,IGARAPE GRANDE,IGARAPE GRANDE
MA,IMPERATRIZ,IMPERATRIZ
MA,ITAIPAVA DO GRAJAU,ITAIPAVA DO GRAJAU
MA,ITAPECURU MIRIM,ITAPECURU MIRIM
MA,ITINGA DO MARANHAO,ITINGA DO MARANHAO
MA,JATOBA,JATOBA
MA,JENIPAPO DOS VIEIRAS,JENIPAPO DOS VIEIRAS
MA,JOAO LISBOA,JOAO LISBOA
MA,JOSELANDIA,JOSELANDIA
MA,JUNCO DO MARANHAO,JUNCO DO MARANHAO
MA,LAGO DA PEDRA,LAGO DA PEDRA
MA,LAGO DO JUNCO,LAGO DO JUNCO
MA,LAGO VERDE,LAGO VERDE
MA,LAGOA DO MATO,LAGOA DO MATO
MA,LAGO DOS RODRIGUES,LAGO DOS RODRIGUES
MA,LAGOA GRANDE DO MARANHAO,LAGOA GRANDE DO MARANHAO
MA,LAJEADO NOVO,LAJEADO NOVO
MA,LIMA CAMPOS,LIMA CAMPOS
MA,LORETO,LORETO
MA,LUIS DOMINGUES,LUIS DOMINGUES
MA,MAGALHAES DE ALMEIDA,MAGALHAES DE ALMEIDA
MA,MARACACUME,MARACACUME
MA,MARAJA DO SENA,MARAJA DO SENA
MA,MARANHAOZINHO,MARANHAOZINHO
MA,MATA ROMA,MATA ROMA
MA,MATINHA,MATINHA
MA,MATOES,MATOES
MA,MATOES DO NORTE,MATOES DO NORTE
MA,MILAGRES DO MARANHAO,MILAGRES DO MARANHAO
MA,MIRADOR,MIRADOR
MA,MIRANDA DO NORTE,MIRANDA DO NORTE
MA,MIRINZAL,MIRINZAL
MA,MONCAO,MONCAO
